city,city_ascii,lat,lng,population,id,nhl_team
Manhattan,Manhattan,40.7834,-73.9662,1694263,1840034000,Rangers
Los Angeles,Los Angeles,34.1141,-118.4068,12121244,1840020491,Kings
Chicago,Chicago,41.8375,-87.6866,8595181,1840000494,Blackhawks
Sunrise,Sunrise,26.1547,-80.2997,96220,1840016000,Panthers
Dallas,Dallas,32.7935,-96.7667,5668165,1840019440,Stars
Philadelphia,Philadelphia,40.0077,-75.1339,5512873,1840000673,Flyers
Washington,Washington,38.9047,-77.0163,4810669,1840006060,Capitals
Boston,Boston,42.3188,-71.0852,4208580,1840000455,Bruins
Detroit,Detroit,42.3834,-83.1024,3522856,1840003971,Red Wings
Seattle,Seattle,47.6211,-122.3244,3438221,1840021117,Kraken
Tampa,Tampa,27.9945,-82.4447,2683956,1840015982,Lightning
Denver,Denver,39.762,-104.8758,2650725,1840018789,Avalanche
Las Vegas,Las Vegas,36.2333,-115.2654,2150373,1840020364,Golden Knights
St. Louis,St. Louis,38.6359,-90.2451,2092481,1840001651,Blues
San Jose,San Jose,37.3012,-121.848,1729879,1840021570,Sharks
Pittsburgh,Pittsburgh,40.4397,-79.9763,1720279,1840001254,Penguins
Columbus,Columbus,39.9862,-82.9855,1556848,1840003760,Blue Jackets
Nashville,Nashville,36.1715,-86.7842,1098486,1840036155,Predators
Raleigh,Raleigh,35.8324,-78.6429,1062018,1840014497,Hurricanes
Buffalo,Buffalo,42.9018,-78.8487,1004655,1840000386,Sabres
Montréal,Montreal,45.5089,-73.5617,3519595,1124586170,Canadiens
Winnipeg,Winnipeg,49.8844,-97.1464,705244,1124224963,Jets
Ottawa,Ottawa,45.4247,-75.695,989567,1124399363,Senators
Tempe,Tempe,33.3881,-111.9319,178862,1840021942,Coyotes
Anaheim,Anaheim,33.839,-117.8574,348204,1840019322,Ducks
Newark,Newark,40.7245,-74.1725,306247,1840002791,Devils
Vancouver,Vancouver,49.25,-123.1,2264823,1124825478,Canucks
Edmonton,Edmonton,53.5344,-113.4903,1062643,1124290735,Oilers
Toronto,Toronto,43.7417,-79.3733,5429524,1124279679,Maple Leafs
Calgary,Calgary,51.05,-114.0667,1239220,1124690423,Flames
Elmont,Elmont,40.7033,-73.7078,36741,1840005226,Islanders
St. Paul,St. Paul,44.9478,-93.1039,309751,1840008940,Wild
